dataset,scenario,mode,seed,all_round_acceptance_equal,all_round_accuracy_equal
mnist,cut_gaussian,clean,42,False,False
mnist,cut_gaussian,clean,137,True,True
mnist,cut_gaussian,clean,2024,False,False
mnist,cut_gaussian,attacked,42,True,True
mnist,cut_gaussian,attacked,137,False,False
mnist,cut_gaussian,attacked,2024,True,True
mnist,cut_minmax,clean,42,False,False
mnist,cut_minmax,clean,137,True,True
mnist,cut_minmax,clean,2024,False,False
mnist,cut_minmax,attacked,42,True,True
mnist,cut_minmax,attacked,137,True,True
mnist,cut_minmax,attacked,2024,True,True
mnist,cut_backdoor,clean,42,True,True
mnist,cut_backdoor,clean,137,True,True
mnist,cut_backdoor,clean,2024,True,True
mnist,cut_backdoor,attacked,42,True,True
mnist,cut_backdoor,attacked,137,True,True
mnist,cut_backdoor,attacked,2024,True,True
fashion_mnist,cut_gaussian,clean,42,False,False
fashion_mnist,cut_gaussian,clean,137,True,True
fashion_mnist,cut_gaussian,clean,2024,False,False
fashion_mnist,cut_gaussian,attacked,42,False,False
fashion_mnist,cut_gaussian,attacked,137,True,True
fashion_mnist,cut_gaussian,attacked,2024,True,True
fashion_mnist,cut_minmax,clean,42,False,False
fashion_mnist,cut_minmax,clean,137,True,True
fashion_mnist,cut_minmax,clean,2024,False,False
fashion_mnist,cut_minmax,attacked,42,True,True
fashion_mnist,cut_minmax,attacked,137,True,True
fashion_mnist,cut_minmax,attacked,2024,True,True
fashion_mnist,cut_backdoor,clean,42,True,True
fashion_mnist,cut_backdoor,clean,137,True,True
fashion_mnist,cut_backdoor,clean,2024,True,True
fashion_mnist,cut_backdoor,attacked,42,True,True
fashion_mnist,cut_backdoor,attacked,137,True,True
fashion_mnist,cut_backdoor,attacked,2024,True,True
